simulation_id,n_obs,identity_cov_matrix,p_features,link_function,selector,share_of_truth_uncovered,ratio_total_select_coeffs_true_coeffs,false_pos_share_true_support,false_pos_share_right_selection,linear_effect_coverage,conf_int_width
2,100,False,20,linear_link,boruta_selector,0.2,0.2,0.0,0.0,,
2,100,False,20,linear_link,univariate_feature_selection,0.9,1.7,0.8,0.8888888888888888,True,[0.95193108 1.30208711]
2,100,False,20,linear_link,lasso_feature_selection,0.7,1.0,0.3,0.4285714285714285,True,[0.99675408 1.30304374]
2,100,False,20,linear_link,adaptive_lasso_tuned,0.7,0.7,0.0,0.0,True,[0.94748868 1.14198567]
2,100,False,20,polynomial_link,boruta_selector,0.1,0.2,0.1,1.0,,
2,100,False,20,polynomial_link,univariate_feature_selection,0.0,0.1,0.1,,,
2,100,False,20,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
2,100,False,20,polynomial_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,,
2,100,False,20,sine_link,boruta_selector,0.1,0.1,0.0,0.0,False,[1.03183083 1.57605847]
2,100,False,20,sine_link,univariate_feature_selection,0.1,0.2,0.1,1.0,False,[1.00847423 1.55528184]
2,100,False,20,sine_link,lasso_feature_selection,0.4,0.8,0.4,1.0,False,[1.11108789 1.64756784]
2,100,False,20,sine_link,adaptive_lasso_tuned,0.1,0.1,0.0,0.0,True,[0.97096957 1.38474864]
2,100,False,80,linear_link,boruta_selector,0.4,0.8,0.4,1.0,True,[0.5280353  1.24752793]
2,100,False,80,linear_link,univariate_feature_selection,0.5,1.3,0.8,1.6,True,[0.47473486 1.19028226]
2,100,False,80,linear_link,lasso_feature_selection,0.7,0.8,0.1,0.1428571428571428,True,[0.9081328 1.1856966]
2,100,False,80,linear_link,adaptive_lasso_tuned,0.7,0.9,0.2,0.2857142857142857,True,[0.8885198 1.0604033]
2,100,False,80,polynomial_link,boruta_selector,0.1,0.3,0.2,2.0,,
2,100,False,80,polynomial_link,univariate_feature_selection,0.0,0.1,0.1,,,
2,100,False,80,polynomial_link,lasso_feature_selection,0.0,0.0,0.0,,,
2,100,False,80,polynomial_link,adaptive_lasso_tuned,0.2,0.4,0.2,1.0,True,[-1.11871823  1.13342804]
2,100,False,80,sine_link,boruta_selector,0.1,0.2,0.1,1.0,True,[0.40865575 1.23163508]
2,100,False,80,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.48179907 1.25926277]
2,100,False,80,sine_link,lasso_feature_selection,0.1,0.1,0.0,0.0,True,[0.48179907 1.25926277]
2,100,False,80,sine_link,adaptive_lasso_tuned,0.1,0.3,0.2,2.0,False,[0.41626955 0.87790956]
2,2000,True,20,linear_link,boruta_selector,0.7,0.7,0.0,0.0,True,[0.97458547 1.03908938]
2,2000,True,20,linear_link,univariate_feature_selection,0.9,1.4,0.5,0.5555555555555556,True,[0.97446986 1.03752316]
2,2000,True,20,linear_link,lasso_feature_selection,1.0,1.6,0.6,0.6,True,[0.97448986 1.03763062]
2,2000,True,20,linear_link,adaptive_lasso_tuned,0.9,0.9,0.0,0.0,True,[0.96803208 1.01336502]
2,2000,True,20,polynomial_link,boruta_selector,0.5,0.5,0.0,0.0,,
2,2000,True,20,polynomial_link,univariate_feature_selection,0.2,0.2,0.0,0.0,,
2,2000,True,20,polynomial_link,lasso_feature_selection,0.5,0.5,0.0,0.0,False,[-0.2716051   0.98782618]
2,2000,True,20,polynomial_link,adaptive_lasso_tuned,0.8,0.8,0.0,0.0,False,[0.04741624 0.93175973]
2,2000,True,20,sine_link,boruta_selector,0.3,0.4,0.1,0.3333333333333333,True,[0.91525633 1.04643619]
2,2000,True,20,sine_link,univariate_feature_selection,0.1,0.1,0.0,0.0,True,[0.91965654 1.05111882]
